fid,Title,Path,PHOTO_ID,POI_ID,ACTION,MR_PHOTOID,POI_NAME,CATEGORY,SUB_CAT,LANDLINE,MOBILE,MOBILE_1,TOLL_FREE,POI_EMAIL,WEBSITE,SERVICE_TY,IS_EXIST,RE-OPEN DA,DAYS_OF_WO,PARENT_CHI,PARENT_ID,POINT_ADDR,STREET_ROA,SECON_SREE,LOCALITY,SUB_LOCALI,LANDMARK,CITY,POSTCODE,BUILD_LATE,BUILD_LONE,1ST_OPEN,1ST_CLOSE,2ND_OPEN,2ND_CLOSE,FRAME_1,FRAME_2,FRAME_3,REMARKS,COLLECT_ON,COLLECT_DT,PRO_RESOUR,PROD_DATE,TYPE_COLL,A_CATEGORY,A_SUB_CAT,QC_RESOURC,QIL_DMK,FISH_EYE,TRANSLATION_POI,DISPLAY_POI,BRAND_POI,FLOOR_INFO,DISPLAY_LATLON
10550,DCIM\111GOPRO\G0196431.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236234.JPG,IDN_00000236234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10551,DCIM\111GOPRO\G0196432.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236235.JPG,IDN_00000236235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10552,DCIM\111GOPRO\G0196433.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236236.JPG,IDN_00000236236,,,,YATIM & DHUFA ASRAMA ASUH ,OTHER ACCOMMODATION (NOT HOTEL),OTHER,,8551336810,,,,www.domyadhu.org,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.30502327,106.8273219,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30501537, 106.82735579"
10553,DCIM\111GOPRO\G0196434.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236237.JPG,IDN_00000236237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10554,DCIM\111GOPRO\G0196435.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236238.JPG,IDN_00000236238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10555,DCIM\111GOPRO\G0196436.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236239.JPG,IDN_00000236239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10556,DCIM\111GOPRO\G0196437.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236240.JPG,IDN_00000236240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10557,DCIM\111GOPRO\G0196438.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236241.JPG,IDN_00000236241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10558,DCIM\111GOPRO\G0196439.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236242.JPG,IDN_00000236242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10559,DCIM\111GOPRO\G0196440.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236243.JPG,IDN_00000236243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10560,DCIM\111GOPRO\G0196441.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236244.JPG,IDN_00000236244,,,,CELL,SPECIALTY/BRANDED STORE,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304821576,106.8272237,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30481188, 106.82726073"
10561,DCIM\111GOPRO\G0196442.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236245.JPG,IDN_00000236245,,,,APOTEK MOTOR (GANTI OLI),MOTORCYCLE MAINTENANCE,,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304760163,106.8272035,,,,,,,,GOOGLE_REF,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30474874, 106.82722914"
10562,DCIM\111GOPRO\G0196443.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236246.JPG,IDN_00000236246,,,,DKRINK FRIED CHICKEN ,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,85693509151,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304711679,106.8271827,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30470327, 106.82721911"
10563,DCIM\111GOPRO\G0196444.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236247.JPG,IDN_00000236247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10564,DCIM\111GOPRO\G0196445.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236248.JPG,IDN_00000236248,,,,AJO SAYANG MASAKAN PADANG,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304659962,106.8271658,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30465059, 106.82719797"
10565,DCIM\111GOPRO\G0196446.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236249.JPG,IDN_00000236249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10566,DCIM\111GOPRO\G0196447.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236250.JPG,IDN_00000236250,,,,PON MINI ,PETROL STATION_MINI,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304609862,106.8271446,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,
